Target,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5,Taboo 6,Taboo 7
perro,animal,ladrar,mascota,cola,paseo,dueño,juguete
gato,animal,maullar,ratón,uñas,bigotes,dormir,independiente
sol,calor,estrella,día,cielo,verano,amarillo,brillar
luna,noche,cielo,satélite,cráter,llena,fase,luz
coche,vehículo,conducir,motor,ruedas,volante,gasolina,viajar
avión,volar,aeropuerto,piloto,alas,maleta,viaje,pasajero
playa,arena,mar,sol,toalla,bañador,olas,vacaciones
montaña,cima,escalar,nieve,paisaje,naturaleza,sendero,altura
escuela,profesor,alumno,clase,pizarra,examen,libro,mochila
hospital,doctor,enfermera,paciente,sala,cama,urgencias,curar
pan,harina,horno,tostada,comer,desayuno,rebanada,mantequilla
vino,uva,botella,copa,tinto,blanco,alcohol,bodega
teléfono,llamar,número,móvil,mensaje,pantalla,voz,contacto
libro,leer,página,autor,historia,capítulo,novela,portada
cine,película,pantalla,butaca,entrada,actor,ver,director
guitarra,instrumento,cuerda,música,tocar,mano,sonido,acústica
flor,olor,pétalo,jardín,rosa,naturaleza,color,ramos
mar,agua,olas,sal,barco,azul,playa,profundo
fuego,calor,quemar,llama,madera,chimenea,cocinar,rojo
tiempo,hora,reloj,minuto,segundo,pasado,futuro,clima
doctor,medicina,paciente,hospital,receta,curar,enfermedad,consulta
familia,padres,hermano,hijo,hogar,madre,parientes,amor
comida,almuerzo,cena,plato,cocinar,hambre,sabor,restaurante
río,agua,pescar,corriente,nadar,puente,orilla,lago
ciudad,urbano,gente,calle,edificio,ruido,tráfico,plaza
zapato,pie,tacón,cordones,andar,calzado,suela,par
café,taza,despertar,caliente,grano,negro,leche,azúcar
reloj,hora,manecillas,tiempo,muñeca,digital,minuto,alarma
pájaro,volar,alas,nido,plumas,cantar,árbol,pico
bicicleta,pedal,rueda,casco,carrera,manillar,freno,camino
árbol,hojas,tronco,sombra,bosque,naturaleza,raíz,verde
puerta,abrir,cerrar,llave,entrada,cerradura,casa,madera
ventana,vidrio,abrir,cerrar,vista,luz,cortina,casa
mesa,comer,silla,madera,pata,mantel,cenar,objeto
ordenador,pantalla,teclado,ratón,programa,internet,escribir,tecnología
camisa,ropa,botón,planchar,manga,cuello,vestir,algodón
doctor,medicina,curar,enfermo,paciente,hospital,receta,bata
pelota,jugar,redonda,patear,deporte,niños,botar,manos
foto,imagen,cámara,recuerdo,color,papel,sonrisa,digital
tren,vía,estación,viajar,pasajero,conductor,vagón,llegar
domingo,fin de semana,descanso,día,familia,sol,iglesia,relax
cama,comer,día,cielo,animal,andar,fruta,persona
pelota,comer,persona,día,ver,cielo,objeto,ropa
nieve,animal,ropa,azul,comer,cielo,persona,ver
cantar,ropa,fruta,comer,ver,persona,hablar,animal
silla,hablar,ver,ropa,día,persona,objeto,andar
verano,día,animal,ropa,persona,ver,cielo,objeto
luz,animal,persona,día,fruta,objeto,ver,cielo
primavera,fruta,cielo,comer,día,animal,ver,azul
llave,objeto,animal,día,andar,azul,comer,ver
pan,hablar,cielo,día,comer,ver,ropa,objeto
mochila,andar,ver,ropa,animal,comer,día,hablar
otoño,día,comer,azul,animal,ropa,andar,ver
leche,cielo,andar,día,comer,azul,ver,fruta
zapato,andar,azul,comer,fruta,animal,ropa,ver
espejo,objeto,andar,ropa,día,animal,azul,comer
auto,cielo,ropa,objeto,animal,persona,día,ver
calle,objeto,ver,animal,hablar,persona,día,fruta
invierno,animal,hablar,ver,ropa,fruta,persona,andar
camino,fruta,objeto,andar,hablar,comer,cielo,ropa
bailar,fruta,andar,ropa,animal,hablar,ver,azul
